source,target
220897,8640901
221747,8640081
221778,8640081
225551,8490458
225608,8490458
225718,6716085
225896,5484196
226546,5610384
227292,6731713
227372,8880460
227481,11275062
228329,6720823
228952,8684028
229910,8491948
231302,6716187
232838,6731713
235981,1364114
236026,2279837
236527,5614435
236631,5614435
239039,2206697
239066,8497744
239875,4450541
240037,6715165
240136,6715165
240223,2545499
240475,8497679
241008,4372382
241390,5595839
241489,10024603
241501,10024603
241597,2151733
241980,8726486
242123,3330421
242173,3330421
242276,2341267
242285,8497679
242339,5591637
242419,1514761
244249,6733925
244997,8664279
245844,6732370
245982,10034489
246069,10034489
246412,1784622
247946,1826440
249287,5484196
249930,3041692
249985,5197846
252764,1086591
252876,8838650
254283,8850548
254599,933334
254877,8725356
258137,2235512
258509,8659322
258560,8659322
259624,8517927
259895,2149099
260120,8495272
260424,8495272
260817,8300928
261581,11728979
263367,6732670
263607,2037639
263697,3556200
264126,3556200
264305,8513901
265622,11256465
266892,4442480
268442,5197846
269330,3556200
270515,11276094
273880,3556200
274301,8653809
274407,5610384
274737,3353424
275921,4383863
275936,6732544
276072,6732544
276277,8567995
277023,5610384
277301,3313754
277308,3313754
279952,4372382
280055,2201898
280372,11256465
281183,8497251
281967,8659322
282029,2053794
282174,4372382
284514,468979
284599,3807871
286105,5591637
286485,6716271
287182,8856102
287513,1341572
287897,1498962
287938,1498962
289129,3276610
289274,3466605
289287,3466605
289731,1922871
291081,3317782
291087,3466605
291104,8498795
291317,2505029
291410,5589490
291502,6769926
292284,8492153
292785,3386630
293468,8497744
293640,7622704
294484,1968266
295145,3386630
295527,11263970
295556,11263970
295826,3153525
297321,5545890
297333,4633385
297371,3266649
297376,3266649
297408,2308428
297654,8490458
297990,2233467
298675,1514761
299251,8494228
301679,5587689
301744,5587689
301751,8495275
301751,5587689
301770,8495275
301879,2338432
303409,8583406
303412,47637
306327,4435537
306486,3278452
306684,6716353
306862,8654304
311499,1680811
313922,1411801
314322,8496013
314406,6770630
314406,8496837
315572,8496013
315594,8496013
315632,8495006
317055,1514761
317059,8712932
317519,10274915
317789,8851851
318499,1922871
322627,8713694
323420,1275773
324805,3278452
330631,6716729
332523,5603306
332549,6731902
332626,2328396
333955,3509367
334627,1023730
334637,6720885
335137,3227658
337549,3164909
337989,2149099
338050,2149099
339207,4436402
339486,8639807
339496,5612709
340395,8726636
344894,11263947
344944,11263947
344983,1955737
349055,1796574
351654,8498795
356571,8534917
356580,8542663
357252,2065803
357670,1641916
357675,1641916
359565,5545890
359575,754126
359893,2065803
360321,1670056
360348,1670056
361250,2165508
361308,4562668
361335,8537731
362680,4372382
363246,8713760
363284,8714268
363284,8631573
363290,8713760
363305,8714268
363311,8631573
366443,1969165
366556,63423
366739,3577018
367870,8498056
368589,8834924
368617,1505505
368637,8713922
368664,1505505
368672,8713922
368955,897481
369410,6733925
370705,3278452
371953,1419274
373589,11335578
373596,11335578
373608,11335578
373617,11335578
374249,8617854
374267,8617854
374271,8617854
374284,8617854
374292,8617854
374294,8617854
374305,8617854
375373,11205639
375483,269906
375595,6769926
376852,2087429
377392,1712590
377392,1766727
377433,1712590
378295,3227501
378510,11276223
378519,11271744
378564,11272300
379801,5585427
381108,3661789
381263,5590990
381436,8662693
381760,3278452
381924,1157546
381957,1157546
381989,1157546
381996,269906
381996,1157546
382189,6769926
382459,8654304
383831,5545515
383831,1810030
383832,1810030
383846,1810030
383856,5545515
383869,2361970
383877,1810030
383895,5545515
383900,2361970
384012,8540610
384336,3386630
385031,6715993
385037,5639752
388646,8654304
388892,6714989
391680,8654304
392046,1838749
392054,11075717
392697,5591078
392913,1144520
393073,3362541
394088,3160272
394088,6716085
395455,2065803
395662,5646683
396058,4436402
396123,1838749
396213,1838749
396504,1959020
396946,2048210
397010,2048210
399088,1385060
399184,1784589
399923,8540115
400119,8497744
400834,1826443
400949,2361970
400996,1780853
401075,5610384
401275,6734903
402608,552801
403874,1826443
405414,2361970
405422,1810030
405467,2361970
405484,1826443
407455,10322681
407496,10288633
408291,3160272
408291,1826440
408306,8640737
409082,10284503
409248,6770630
409274,8496837
409610,1479172
409889,791209
409919,791209
409922,791209
409949,1831254
409963,791209
409983,923253
410005,6716353
410354,6734903
410484,3556200
410557,3556200
411039,8497744
411231,8497744
411337,5484196
412054,6047061
412063,3362541
412074,6047061
412080,6047061
412107,3362541
412929,11335578
413610,1820562
413739,1641916
416127,4436402
416350,8497744
416363,8497744
417294,1157546
417390,1820562
418121,2199641
418530,1385304
418536,1385304
418557,1385304
418571,1385304
418626,1385304
418675,1385304
418883,3119730
419630,6734903
420478,8854404
420489,8854404
420494,8854404
420505,8854404
420627,2997073
421372,1662214
421505,3317782
421508,8498795
421511,3317782
421583,2191683
421625,1826443
421892,5236151
421948,5236151
421958,5236151
422057,1505505
422069,1505505
422099,4377196
422123,8834924
422174,8840338
423125,1502524
425380,1948929
425381,2343059
425422,1983953
425463,1948929
425480,1948929
425572,8586365
427371,8838392
427625,8838392
427635,1670083
427744,8713922
427818,8713922
427898,3003814
429510,4436402
429660,4377196
429758,1834292
430985,2715820
431133,1641902
432108,8712737
432114,4377196
432117,4377196
432127,4377196
432245,3807871
432582,8505544
432591,3076328
432620,3076328
433168,4436402
433860,1505505
433865,1505505
433894,1505505
433911,1505505
434013,8496378
435956,6716085
435964,6716085
436028,6725939
436350,1491114
436356,1491114
436374,1491114
436386,1491114
436396,8849781
436424,1491114
436439,1491114
436449,8849781
436907,6715541
437273,7528353
437420,2490201
437612,2280958
437669,2280958
438717,1548528
438731,1491114
438734,1491114
438769,1491114
438854,8639807
440397,4450967
441764,2367928
441803,2367928
441810,2367928
441823,8693264
441897,6716085
443271,4436402
443843,1423033
443878,1423033
444458,5211924
445023,4449817
445035,4449817
445571,1047565
445620,1047565
445645,1047565
446018,4436402
446081,3664569
446111,10034489
446263,8656321
448854,2313149
448963,5138936
449071,1475523
449800,1253654
449973,1253654
450591,12165677
451468,2165508
451570,979774
452375,8498380
453161,754126
453189,754126
453202,817846
453353,935514
454335,6714989
456726,5300344
456726,2545499
456768,5300344
456768,2545499
456833,322627
457018,869359
457154,5211924
457734,3636432
457863,869359
458275,11277457
458445,6731713
458963,8658651
459056,1436026
459934,6731713
460994,1826443
461029,5613191
461111,4564275
461307,11255416
461467,6731902
461467,5603306
461757,269906
461770,552801
461778,552801
461789,1414682
462232,568704
462261,10034489
462264,8498380
463405,2729523
463734,8854404
463744,8854404
464475,8491746
464878,8493058
465239,3366554
465368,8651308
465374,11276223
465381,8651308
465383,2065803
465400,8659322
465887,1070669
465906,4449374
465936,1082391
466082,878702
466095,1637764
466115,2201887
466146,2201887
466164,2201887
466609,6716085
467265,897481
467591,3359801
467771,8880460
467851,8712524
468298,8856954
468380,8493223
468398,8493223
468459,8493223
468466,3518525
468763,21707
468979,8498795
468985,8682879
469025,8541741
469338,4689485
469792,2341267
469842,3562458
469879,6716085
470479,1623686
470515,1623686
470752,3629814
471042,8492153
471052,4370607
471321,8498795
471321,8489764
471330,3317782
471344,3317782
471350,3317782
472120,6715165
472379,3268268
473343,8492153
473348,8492153
473450,8492153
473551,8488039
473585,8488039
473587,1023730
474089,12165677
474524,2053794
474530,892505
474566,1922871
475133,4115604
475138,11256311
475160,12635091
475167,4115604
475217,2101489
475306,8654304
475448,11728979
475459,11728979
477049,1859266
477090,2065803
477096,2065803
477101,2065803
477102,2065803
477114,2065803
477392,5547225
477442,5547225
477460,5546932
477468,8489764
477492,5710407
477808,1248828
477923,8838650
477938,6715541
478153,8853507
478321,1086591
478327,1922299
478421,1248828
478803,8838650
481992,8725356
482020,8725356
482075,8725356
482099,8725356
482897,8851851
482928,8709896
482958,1423033
483127,8640581
484185,892505
484383,8709896
484454,63411
485544,8706335
485809,3135435
485932,3531547
487796,989443
487823,3266649
487989,917475
488027,8873805
488303,471321
488647,989443
488950,989443
488955,917475
489864,8493683
489877,2048210
489889,9555898
490523,4425224
490532,436396
491044,8726486
492006,3227658
492950,8496763
492978,8496763
493085,8496763
493157,1826440
493389,5610384
494278,5614435
494429,933334
494502,933334
494528,933334
494530,933334
494554,933334
496496,9906209
496713,933334
497196,8497488
497286,8497488
497381,8497488
497945,1248828
498002,1248828
498003,1248828
498922,5590990
499161,1248828
499171,1248828
499177,1248828
499198,1248828
499200,1248828
499224,1248828
499260,1086591
499427,1939753
500856,4370079
500912,8712973
501751,301770
501759,301770
501772,8853507
502827,1665756
502898,1665756
503915,1939753
504053,6733925
504736,1419274
504800,1419274
504960,12165677
505252,8496013
506204,8631573
506368,1826440
507307,8850144
507335,8853507
507378,8853507
507422,8850144
507429,281183
507439,281183
507710,5590990
508037,1939753
509237,5711994
509243,5711994
509249,3632402
509608,3439889
509729,8496837
509838,8842863
509868,822853
510027,2048210
510440,2201887
510488,2201887
510492,2201887
510494,2201887
510735,2048210
510786,1880727
510978,3609831
511004,3466605
512123,8583406
512327,2201887
513151,2048210
513674,3664569
514014,8641186
514269,2997073
514720,3609831
514777,1498962
514812,3152902
514833,8853507
515052,1341572
515409,6716297
516006,6714989
516157,3121799
517549,3227473
517731,1332948
517757,1498962
517771,1332948
517788,1332948
517832,8838719
517858,1332948
517859,1332948
518527,2279837
518537,8645256
518954,909372
519000,909372
519011,929011
519065,929011
519140,2468779
519343,2149018
520472,6769926
520859,8876745
520861,8876745
520876,8842645
520888,8876745
521792,8842645
521795,8842645
521863,8842645
521879,8842645
521882,8842645
521908,3353274
522278,6769926
522628,2149099
522957,2997073
523241,5698077
523378,5484196
524268,5784982
524453,6769926
525354,8497639
525511,8496763
526455,4377103
527011,1838749
527086,933334
527102,933334
527121,933334
527149,608725
527210,11266498
527818,8494228
527865,878702
528273,2313149
528279,2313149
528331,2367928
528348,2367928
528991,8535983
529009,2295657
529249,8493683
529738,378510
529763,2343059
529856,4420954
529860,4420954
530659,3122913
530670,8535983
531103,1946015
531123,377392
532308,549478
532415,3119730
532642,1935081
532685,1491151
532702,1555037
532763,8542663
532802,8542663
534271,914185
534289,2117900
534464,1491114
534473,1491114
534658,817846
534884,1579283
535784,1505505
536766,2318061
536799,817846
538681,2279837
538732,2279837
539866,2318061
540781,1662214
542082,1364114
542680,8542663
542940,1871000
543494,10070573
544224,886003
544240,2318061
544266,817846
544421,8537731
544785,8645256
544849,8645256
544856,1467073
544886,8645256
545727,6716085
546304,2313169
546325,2313169
546852,8633846
549295,8541741
549296,8542663
549316,8540212
549353,8535315
549387,8656321
549474,2217728
549478,8713694
550050,10024603
550061,2545499
550234,6716085
550573,1920407
550606,8534857
550748,11271614
550817,933334
550975,1837162
550979,1837162
550987,1837162
551024,1837162
551495,2058482
551824,8535983
551854,2295657
551862,2295657
551871,8536956
552339,2199641
552398,1712590
552628,378510
552730,8840883
552751,378510
552765,1707174
552778,929011
552801,8747354
552893,8840883
553454,4562668
553467,979774
553480,979774
553551,2215398
553557,979774
554799,6716085
555554,979774
555556,8626708
555564,979774
555596,979774
555612,979774
555631,8626708
555636,979774
555692,1241303
555823,8835091
555974,8715765
555984,436396
556045,436396
556091,8715765
556773,8853507
556800,1871000
556875,2225337
557074,436396
557168,436396
557201,1040581
557768,6716085
557803,609397
558255,817846
558266,817846
558469,8497488
558746,1027393
558790,1027393
559705,1248828
560214,8631573
560236,8631573
560637,1248828
560657,1665756
560803,1248828
561009,3164016
561009,4436402
561767,8656321
561771,11274213
561951,5610384
561957,5610384
563135,917463
563145,917463
563147,917463
563160,917463
563180,909372
563193,909372
563837,5236151
564033,1827399
564212,10034489
564334,1385304
564348,1385304
564354,1385304
564368,8842863
564389,1385304
565308,1796637
565736,917463
565778,917463
565800,917463
565816,917463
565822,917463
565826,917463
565845,917463
566418,929011
566507,929011
566561,8843412
566861,1796637
566979,909372
567063,8842863
567203,8856102
567594,8682551
567781,5138936
568110,917463
568130,917463
568137,933334
568218,8842863
568271,9948595
568484,4383863
568596,8728239
568602,8631573
568704,8727530
569045,1248828
569075,1248828
569484,3266649
569521,3266649
571407,5639752
571983,1969165
574605,1129293
574724,5603306
580061,8493058
580103,8493058
580122,6722065
583343,5614435
584824,8513901
585458,8534917
585869,8534917
586280,8492153
586555,3659817
587228,5639752
587827,301770
587831,301770
587858,8838650
588299,8535719
588322,8535719
588341,8535719
588661,4562668
588815,1843911
588869,5138936
589727,11276223
589890,11271744
590230,8684649
591012,8837326
591051,8837326
591312,5138936
591483,2204507
591581,8493058
592062,5544897
592090,5544897
592237,5544897
592829,3276610
593338,8657390
594565,5710407
595260,5544897
595319,5544897
595626,3386630
595635,3386630
595689,3386630
595751,2249199
595856,2109259
596238,815844
596659,3479057
596675,1778163
597407,4450541
598288,5544897
598292,5544897
598396,3317782
598405,3317782
598969,5138936
599061,11257930
599070,8694877
599116,11257930
599139,2082942
599520,11335578
599829,962271
602206,8491690
603130,1894469
603158,1502524
603437,5680060
603458,8498795
603748,4450541
604124,8493694
604198,9894504
604611,1948929
604857,1696640
605499,8491746
606259,4451106
606784,1245954
606898,8542663
606977,817846
607068,8542663
608215,8492317
608420,6720823
608725,1862631
609272,8628169
609273,11271744
609311,11276223
609335,8659322
609370,11271744
609397,11276223
609406,8628169
609419,817846
609625,10034489
609917,955330
611109,8623774
611127,8623774
611315,4450541
613110,8836792
614868,1142548
615186,299246
615344,799909
615355,3276610
615363,299246
615373,3276610
616001,3359801
616788,33937
618232,1157546
618545,2573413
620244,1926430
620576,1815732
620647,1815732
620750,896804
620800,8272781
621142,8492317
621492,3276610
621600,2217728
622238,11335578
622308,1479172
623658,2573413
624598,3503342
624718,2206697
624826,1318831
624866,8653809
625100,3531547
626229,2217728
626250,754126
626416,3278452
626777,809854
627693,2249199
628469,4449374
628517,4449374
628568,4372382
628937,2573413
629801,3278452
629925,3278452
629934,2170897
630150,377392
630298,2158548
630801,3215655
630831,2509332
631396,4449374
631698,4450541
631722,4450541
632014,1780853
632279,3278452
632536,1491114
632537,1491114
634747,6716187
635411,10024603
638215,3041692
638396,8498380
639297,869359
641581,8490277
642582,5138936
642656,5777697
642846,3160272
643900,3664569
644369,6732570
645162,1843911
646151,4451049
646965,5138936
647159,1843911
647475,1419274
647550,1419274
648012,1328359
648324,1641916
648344,2042460
649048,1826443
649317,6733925
649443,8692075
650107,11257930
650632,1248828
650675,1248828
652015,3530298
652422,4432517
655242,11256554
656152,8843412
656305,8490458
656308,3353274
656367,3353274
656577,8490458
656611,3353274
656743,1894469
657075,11256465
657630,8876745
657693,8876745
657822,8876745
661375,6733925
663105,3359801
664280,1880727
665504,8836040
666459,5138936
667547,3353274
667675,3353274
668390,3661789
669142,3610798
670277,8720870
671753,3353274
673716,11266985
673716,1653174
675021,1543618
675358,3353274
675457,3353274
675754,5784982
678307,2201887
679564,3613019
679858,8498011
679900,8494887
681919,1328359
682079,8498356
682083,11256465
682257,2201887
682976,8496763
682993,3613019
683005,3613019
683479,3613019
683498,962271
684389,3276610
684698,8496763
685311,1328359
687224,2201887
689975,8712524
691021,2219680
691106,2219680
691417,5588593
692654,6725939
692741,8836040
692817,1796574
692856,1373566
692918,5191656
693381,422174
693411,422174
694590,8712524
696420,8545042
697085,1969165
697097,3579275
698652,8583406
698698,1939753
703856,1969165
704088,1969165
705301,436396
706389,2016205
706524,3227473
707084,8640901
707898,3629886
710318,6716085
710454,1969165
710705,5544116
712153,4450967
715312,2170897
715369,2175150
715384,2175150
715546,2172696
715968,5547225
716062,6725415
716328,3629886
716774,8726990
717048,2170897
718172,11728979
718384,8541327
719598,8726636
719923,11728979
720353,2167460
720650,5501202
724350,1834354
726143,3629886
727049,4446058
727049,3353274
727974,2318061
728535,1834354
729009,2165508
729015,2225337
729618,8626708
729793,979774
730362,3096233
732064,11255652
733745,3359801
733783,3154754
733840,3227658
734435,1385060
734439,1385060
734440,1385060
734814,10204781
736671,3629886
737877,3629886
739045,3353274
740367,8496013
740550,5211924
740991,5715284
741020,5715284
742262,3629886
742292,3629886
742605,314406
743199,979774
743215,8682879
743299,979774
743326,979774
743348,979774
743979,5715284
744217,5610384
744599,1514761
744872,3629886
744880,3629886
744886,3629886
744902,3629886
745300,3119730
745304,3119730
746274,1922871
747169,11728979
747198,3629886
747229,3629886
747789,3629886
748011,3362541
748039,3362541
748166,3266649
749227,3629886
749243,3629886
749280,3629886
749609,3177735
749887,10216860
750571,5777697
750713,8490458
751774,3629886
751779,3629886
752494,8540590
752681,8497313
752759,8497313
754076,2343059
754126,8684690
754249,754126
754287,3629886
754304,3629886
754332,3629886
754562,3629886
755687,5777697
755933,8493683
756612,4385331
757495,3629886
757496,3629886
757497,3629886
757551,3629886
757788,2073444
758683,8493683
759334,5501838
759951,3386630
760217,10330682
760549,8862653
762132,2313149
762180,2367928
762183,2367928
762209,2313149
763338,4452540
763351,4452540
763363,3123004
763392,3123004
763398,5776108
763425,3577018
764077,1407918
765824,2318061
766275,8645256
766359,409248
766957,8980389
766962,5646974
767002,8980389
767315,1047565
768503,8850842
768755,1157546
768802,11274213
769058,5646683
769093,3362541
769281,8980389
769725,11271744
769794,1837162
769832,1027393
771111,8500660
771619,4215734
771632,3629886
771641,3629886
771650,3629886
771655,3629886
771686,3629886
771691,3629886
771693,3629886
771710,5698077
772265,5595839
772623,8498056
773513,3629886
773526,3629886
773621,1770535
773789,10330682
774321,3594513
774646,11750857
774778,8656321
775690,8851851
775700,8851851
775709,2343059
775766,2343059
775909,4452540
776317,11254791
776439,11255149
777328,5513957
777695,552801
778366,8715765
778412,8876745
779432,11255149
780433,3362541
780570,917463
780592,8842645
780644,8842645
780815,4377196
780846,8658869
780858,1047565
780906,8540581
780912,8540581
780913,8540581
780934,11267368
780945,574605
780951,574605
782134,12262072
782264,1491114
782351,1497227
782597,5545890
782717,3285821
782898,3285821
783124,935514
783129,935514
783134,935514
783152,935514
784011,3135435
784028,8496763
784407,5595839
784435,5619263
784715,3153525
785501,878702
785514,878702
785516,878702
785519,878702
786079,2219680
786097,8839867
787595,33937
787609,4420954
788565,2165407
789095,897481
790125,3618862
790908,3065279
791209,1637764
791220,1241303
791241,984911
791557,3632402
792068,1867102
793812,10274915
793839,10330682
794090,1837162
794105,1837162
794269,5512886
796336,8709896
797172,2172696
797239,436396
797791,1253654
798214,8498011
799504,8847804
799539,2201887
799885,2250149
799894,1248828
799905,281183
799909,11255651
799912,933334
799914,1248828
799920,11263212
800379,11263970
800471,7621711
801665,8850144
802090,8722692
802102,8722692
802112,8720870
802118,8722692
802120,8722692
802221,8493078
802429,11335578
802495,11335578
802761,3227473
803128,8856102
803883,3135435
803927,8496763
805288,5590990
805310,8837326
805332,8838392
805358,8573990
805410,1670083
805421,8573990
805669,1968266
805690,8650087
806194,3519648
806259,3227473
806587,3227473
806943,8856102
807218,11275272
808181,1890553
808193,1890553
808199,1890553
808431,10330682
809854,11255651
809893,1086591
809900,1248828
810306,8842645
810326,8665366
810330,2013028
810348,8665366
810354,2013028
810362,8536818
810367,8665366
810369,8665366
810469,1659406
810754,1770535
810765,1770535
810794,549478
810920,4425224
811843,11256258
811906,5559523
812123,461757
812145,5589457
812147,1375025
812155,1375025
812881,909372
814404,5660954
815844,11266985
815844,1653174
817248,8694877
817347,878702
817349,878702
817846,8498539
818336,10330682
818575,5591078
818767,5591078
820004,8842863
820245,1241303
820642,11276094
821424,8842863
821450,8842863
822494,291104
822533,1648836
822538,291104
822831,1027393
822839,1027393
822853,1712590
823802,8664279
825406,1839381
825463,1839381
825522,1142548
825549,552801
826430,1670061
826953,1969165
827340,3579275
827452,2063061
827468,2321251
827700,2016205
828293,8713922
828354,8713922
829254,1969165
829282,1969165
829659,4376875
829678,4376875
829731,8495272
829739,2917153
831451,378510
831460,377392
831505,377392
832633,182558
833135,2317812
833154,2042460
833174,2042460
833397,1969165
833720,1969165
835306,768503
835312,768503
835469,955330
837382,269906
837650,3519648
837675,8488885
837683,3519648
837688,1375025
837698,923253
837700,923253
837706,791209
837710,1375025
837728,1375025
837737,923253
839618,269906
839618,1614731
840138,3278452
840355,2201887
840611,3556200
841413,3577018
841719,2604208
842374,11275062
843817,8517927
844034,1157546
844098,5613191
844188,11256465
844943,8712524
844968,1930309
845045,2053794
845341,1157546
846603,8712524
846924,11256465
847047,1920363
847048,1820662
847064,1920363
847078,1820662
847083,1820662
847086,1920363
847641,8837326
848164,8880460
848582,3096233
848597,3096233
848988,1680821
849203,3076328
849216,3076328
849230,3076328
849748,5512886
850050,3353424
850188,3632402
850548,3509367
851071,8488678
851801,2604208
851837,2042460
851843,2042460
852681,8631573
852737,8656321
853039,1611700
853111,1611700
853748,5777697
853767,5777697
853867,8839867
854191,436396
854263,1505505
854383,1555037
854393,1382188
856195,768503
856249,8662693
856279,768503
856288,768503
856320,8662693
856522,2219680
856548,1641916
856837,436396
856862,3528396
857348,2016205
858358,791209
858366,791209
858368,791209
858540,8491948
859957,929011
860023,1770535
860045,1770535
860062,914185
860121,8835857
860224,11275062
860224,8488885
860234,8488885
860546,3661789
861675,8876745
861720,933334
861759,8842645
862331,9517746
862530,3330421
862801,8493683
863407,6769926
863451,6769926
863705,1419274
864203,8839381
864728,1930309
864868,3659817
864870,5715284
864977,2279837
864977,1407918
865103,8645256
865386,6716297
865623,8725356
866215,2037639
867016,7622704
867470,1778589
867496,1778589
867503,1778589
867517,1778589
867518,1778589
867519,1778589
867745,11255149
868607,7528353
868966,3041692
869016,3041692
869042,11275762
869042,3041692
869056,3041692
869347,935514
869356,935514
869359,1129293
869367,935514
869675,4450967
871851,8684028
871905,886003
871934,886003
871965,3509367
872004,3509367
872162,2013028
872401,3153525
872702,935514
873379,6725805
873626,1859236
873633,1859236
873798,3509367
874115,8662693
874198,1641902
874514,935514
874519,1375025
874625,5512886
875103,6769926
875131,8498548
875195,1427714
875480,1867102
875744,1778163
878009,2172696
878072,2481093
878164,568596
878702,11275762
878724,886003
879659,3177735
880596,1865344
881266,5544116
881887,4445162
882383,2505029
882445,2505029
883082,1637927
883720,1023730
884422,8505544
884422,2508616
884422,2917153
884444,8505544
884467,839618
885006,4435280
885501,8640565
885544,1023730
885722,3215655
885963,942663
885978,942663
885979,1869277
885979,942663
885979,5784047
885988,2884015
886003,1862688
886003,2884015
887583,5501838
887671,8495375
887704,8495375
887719,11256554
887830,5784982
887941,8493543
888371,8653809
888410,3659817
889351,6734903
891250,2919189
891448,11256311
891561,1770535
891952,6771748
892373,5784982
892482,2520246
892505,8540839
892559,1680811
892705,8783
894175,2573413
894410,1680811
894418,1688833
894656,314406
894672,314406
895694,1659406
896790,1862215
896804,1708174
896804,5367274
896819,1862215
896826,1837162
896827,5367274
897481,8541542
897972,11272300
898637,3499998
898750,8496130
899070,1920363
899823,314406
899836,8497662
900035,3807871
